ts,epoch,gpu_util,engine_state,engine_jiff,engine_thr
00:33:22,1790181202,36,R,219393,333
00:33:23,1790181203,36,R,219529,333
00:33:24,1790181204,36,R,219663,333
00:33:25,1790181205,36,R,219798,333
00:33:26,1790181206,36,R,219933,333
00:33:27,1790181207,36,R,220069,333
00:33:28,1790181208,36,R,220204,333
00:33:29,1790181209,36,R,220339,333
00:33:30,1790181210,36,R,220474,333
00:33:31,1790181211,36,R,220610,333
00:33:32,1790181212,36,R,220746,333
00:33:33,1790181213,36,R,220885,333
00:33:34,1790181214,36,R,221044,333
00:33:35,1790181215,36,R,221185,333
00:33:36,1790181216,36,R,221324,333
00:33:37,1790181217,36,R,221464,333
00:33:38,1790181218,36,R,221603,333
00:33:39,1790181219,36,R,221742,333
00:33:40,1790181220,36,R,221883,333
00:33:41,1790181221,36,R,222022,333
00:33:42,1790181222,36,R,222161,333
00:33:43,1790181223,36,R,222300,333
00:33:44,1790181224,36,R,222439,333
00:33:45,1790181225,36,R,222578,333
00:33:46,1790181226,36,R,222717,333
00:33:47,1790181227,36,R,222856,333
00:33:48,1790181228,36,R,222995,333
00:33:49,1790181229,36,R,223134,333
00:33:50,1790181230,36,R,223273,333
00:33:51,1790181231,36,R,223412,333
00:33:52,1790181232,36,R,223550,333
00:33:53,1790181233,36,R,223686,333
00:33:54,1790181234,36,R,223821,333
00:33:55,1790181235,36,R,223956,333
00:33:56,1790181236,36,R,224091,333
00:33:57,1790181237,36,R,224226,333
00:33:58,1790181238,36,R,224361,333
00:33:59,1790181239,36,R,224495,333
00:34:00,1790181240,36,R,224630,333
00:34:01,1790181241,36,R,224765,333
00:34:02,1790181242,36,R,224899,333
00:34:03,1790181243,36,R,225034,333
00:34:04,1790181244,36,R,225168,333
00:34:05,1790181245,36,R,225303,333
00:34:06,1790181246,36,R,225436,333
00:34:07,1790181247,36,R,225566,333
00:34:08,1790181248,36,R,225695,333
00:34:09,1790181249,36,R,225825,333
00:34:10,1790181250,36,R,225955,333
00:34:11,1790181251,36,R,226085,333
00:34:12,1790181252,36,R,226215,333
00:34:13,1790181253,36,R,226345,333
00:34:14,1790181254,36,R,226475,333
00:34:15,1790181255,36,R,226606,333
00:34:16,1790181256,36,R,226737,333
00:34:17,1790181257,36,R,226868,333
00:34:18,1790181258,36,R,227000,333
00:34:19,1790181259,36,R,227130,333
00:34:20,1790181260,36,R,227261,333
00:34:21,1790181261,36,R,227393,333
00:34:22,1790181262,36,R,227523,333
00:34:23,1790181263,36,R,227654,333
00:34:24,1790181264,36,R,227785,333
00:34:25,1790181265,36,R,227915,333
00:34:26,1790181266,36,R,228046,333
00:34:27,1790181267,36,R,228177,333
00:34:28,1790181268,36,R,228308,333
00:34:29,1790181269,36,R,228438,333
00:34:30,1790181270,36,R,228570,333
00:34:31,1790181271,36,R,228701,333
00:34:32,1790181272,36,R,228832,333
00:34:33,1790181273,36,R,228963,333
00:34:34,1790181274,36,R,229094,333
00:34:35,1790181275,36,R,229247,333
00:34:36,1790181276,36,R,229388,333
00:34:37,1790181277,36,R,229525,333
00:34:38,1790181278,36,R,229661,333
00:34:39,1790181279,36,R,229798,333
00:34:40,1790181280,36,R,229935,333
00:34:41,1790181281,36,R,230071,333
00:34:42,1790181282,36,R,230208,333
00:34:43,1790181283,36,R,230344,333
00:34:44,1790181284,36,R,230481,333
00:34:45,1790181285,36,R,230618,333
00:34:46,1790181286,36,R,230754,333
00:34:47,1790181287,36,R,230891,333
00:34:48,1790181288,36,R,231028,333
00:34:49,1790181289,36,R,231165,333
00:34:50,1790181290,36,R,231301,333
00:34:51,1790181291,36,R,231439,333
00:34:52,1790181292,36,R,231575,333
00:34:53,1790181293,36,R,231720,333
00:34:54,1790181294,36,R,231860,333
00:34:55,1790181295,36,R,231991,333
00:34:56,1790181296,36,R,232122,333
00:34:57,1790181297,36,R,232254,333
00:34:58,1790181298,36,R,232386,333
00:34:59,1790181299,36,R,232516,333
00:35:00,1790181300,36,R,232648,333
